,PM,Profuidad,Zona fótica,pH,Temperatura ,OD,OD%,Conductividad,Redox,Fósforo Total,Nitratos,N. amonical ,Mang,Color,Turbiedad,N total,TOC,"UV 
(cm1)",SUVA,Clorofila,Feopigmentos,Algas,Cianobacterias totales,F N,CL N,NO2 N,NO3 N,SO4 N,NH4+ N,K N,NT N,NT Orgánico N
371,Torre Superficial,1.77,4.79,7.3,21.85,7.5,110.08,54.4,113.5,0.0,236.343,30.233,0.011,11.0,6,0.0,3.4483,0.081,2.3,7.11,2.01,1097,644,0.079,3.662,0.036,1.047,3.01,0.06,1.279,0.3834052419354839,0.22347852760736198
372,Torre Media,1.77,4.79,6.7,19.5,5.1,73.0,65.0,123.4,10.0,267.043,30.233,0.016,14.0,12,0.0,2.6816,0.083,3.1,3.73,2.36,427,366,0.028784671532846716,4.259,0.042,1.183,3.76,0.06,1.252,0.3834052419354839,0.22347852760736198
373,Torre Profua,1.77,4.79,6.8,18.9,3.8,50.5,66.2,129.1,20.0,265.914,30.233,0.046,16.0,19,0.0,2.3734,0.091,3.8,2.37,0.95,127,66,0.007,4.641,0.038,1.178,3.894,0.06,1.398,0.3834052419354839,0.22347852760736198
374,Presa,2.17,5.87,6.7,19.76,4.4,63.06,66.1,18.8,10.0,173.363,30.233,0.134,23.0,8,0.0,2.5674,0.12,4.7,4.74,4.38,160,633,0.057,3.425,0.034,0.768,2.491,0.06,1.453,0.3834052419354839,0.22347852760736198
375,Potreros,1.54,4.17,7.5,21.33,7.6,137.23,50.5,140.9,20.0,236.117,30.233,0.04,11.0,5,0.0,2.9058,0.086,3.0,2.37,6.75,505,633,0.073,3.792,0.042,1.046,3.37,0.06,1.169,0.3834052419354839,0.22347852760736198
376,PalmasEsp.Santo,1.68,4.54,7.6,21.93,7.6,113.07,54.4,127.7,10.0,227.765,30.233,0.016,7.0,5,0.0,2.7362,0.079,2.9,5.33,5.03,738,633,0.045,3.601,0.035,1.009,2.898,0.06,1.25,0.3834052419354839,0.22347852760736198
377,Descarga Bombeo,1.97,5.33,7.9,21.87,7.8,115.53,52.2,121.6,10.0,220.316,30.233,0.01,5.0,3,0.0,2.6414,0.085,3.2,3.55,3.08,571,633,0.007,3.464,0.036,0.976,2.745,0.06,1.253,0.3834052419354839,0.22347852760736198
378,Torre Superficial,2.17,5.87,7.8,19.86,7.8,110.24,52.5,169.2,40.0,151.693,18.605,0.012,14.0,12,0.0,2.1459,0.075,3.5,2.37,7.58,288,1908,0.039,3.482,0.032,0.672,2.697,0.024,1.098,0.3834052419354839,0.22347852760736198
379,Torre Media,2.17,5.87,7.0,18.6,6.0,82.95,56.9,196.0,80.0,216.93,31.008,0.021,17.0,23,0.0,2.2403,0.091,4.1,2.37,4.68,71,450,0.038,3.674,0.034,0.961,2.97,0.04,1.069,0.3834052419354839,0.22347852760736198
380,Torre Profua,2.17,5.87,7.2,18.15,6.6,90.83,60.2,183.0,140.0,250.113,25.581,0.025,19.0,30,0.0,2.2649,0.094,4.2,1.18,2.55,15,66,0.034,3.953,0.042,1.108,3.134,0.033,1.043,0.3834052419354839,0.22347852760736198
381,Presa,2.44,6.6,7.3,19.42,4.2,60.05,57.8,43.6,40.0,117.381,172.093,0.143,15.0,7,0.0,2.4253,0.129,5.3,6.52,15.05,136,1966,0.039,3.415,0.033,0.52,2.198,0.222,1.186,0.3834052419354839,0.22347852760736198
382,Potreros,2.13,5.76,7.5,19.83,7.3,102.77,50.1,198.1,20.0,178.104,22.481,0.035,12.0,6,0.0,2.1692,0.092,4.3,5.92,4.44,71,1000,0.035,3.227,0.035,0.789,2.352,0.029,0.958,0.3834052419354839,0.22347852760736198
383,PalmasEsp.Santo,1.77,4.79,7.8,19.53,7.7,108.9,53.9,176.3,20.0,191.874,19.38,0.018,16.0,12,0.0,2.2813,0.083,3.6,1.78,5.69,81,1533,0.035,3.43,0.036,0.85,2.541,0.025,1.02,0.3834052419354839,0.22347852760736198
384,Descarga Bombeo,2.47,6.68,7.9,20.23,8.1,115.1,50.1,177.7,20.0,148.984,14.729,0.024,15.0,3,0.0,4.9716,0.107,2.1,11.85,13.86,106,933,0.036,3.264,0.036,0.66,2.292,0.019,1.086,0.3834052419354839,0.22347852760736198
385,Torre Superficial,2.88,7.79,7.7,19.75,7.6,104.53,48.8,144.0,10.0,148.984,58.915,0.022,12.0,3,0.549,2.5026,0.079,3.2,9.48,7.52,536,633,0.035,3.272,0.036,0.66,2.59,0.076,1.003,0.549,0.33
386,Torre Media,2.88,7.79,7.7,18.68,6.1,84.78,55.5,156.1,10.0,221.445,64.341,0.025,12.0,8,0.482,2.2721,0.078,3.5,4.74,2.31,152,225,0.034,4.243,0.045,0.981,3.06,0.083,1.19,0.482,0.182
387,Torre Profua,2.88,7.79,7.6,18.03,5.8,79.47,62.0,139.7,20.0,225.959,78.295,0.058,16.0,10,0.539,2.2561,0.081,3.6,1.78,1.54,81,33,0.034,4.545,0.042,1.001,3.458,0.101,1.009,0.539,0.222
388,Presa,3.46,9.36,7.5,18.89,5.0,70.17,49.7,148.5,0.0,193.002,66.667,0.077,12.0,3,0.439,2.4424,0.084,3.4,32.58,5.98,419,1767,0.038,3.256,0.032,0.855,2.338,0.086,1.063,0.439,0.169
